歌名,歌手,风格,链接
青玉恋,子衿,古风,
虞兮叹,闻人听書_,古风,
回马枪,张晓棠,古风,
寄明月,SING女团,流行,
多情岸,忘川风华录,古风,
江山雪,小爱的妈,古风,
丹青客,HITA,古风,
云与海,啵啵叽,流行,
鱼玄机,夏浅沫,古风,
广寒宫,丸子呦,古风,
扶桑树,石淞菱,古风,
苏幕遮,张晓棠,古风,
云水谣,伦桑,古风,
山上雪,万象凡音,古风,
清平误,黄诗扶,古风,
楚歌起,黄诗扶,古风,
星辰变,李常超 (Lao乾妈),古风,
献天缘,何中华,古风,
长相思,春风十里,古风,
四万秋,国风堂,古风,
葬花词,黄诗扶,古风,
孽海记,黄诗扶,古风,
良辰夜,黄诗扶,古风,
有鹿来,黄诗扶,古风,
万梦星,黄诗扶,古风,
清醒记,黄诗扶,古风,
心上诗,黄诗扶,古风,
两相欢,音阙诗听,古风,
小诗句,张碧晨,流行,
Simon,周菲戈,流行,
纯妹妹,单依纯,流行,
敕勒歌,何炫丽,民谣,
穿林响,陈抒妮,古风,
将军令,吴克群,古风,
88080,仙某某,古风,
小情歌,苏打绿,流行,
多情种,徐泽（要不要买菜）,流行,
我曾经,陈逸月,流行,
摘星记,能猫的能,古风,
关键词,林俊杰,流行,
海芋恋,萧敬腾,流行,
月牙湾,F.I.R.,流行,
带我走,杨丞琳,流行,
好想你,朱主爱,流行,
日不落,蔡依林,流行,
鸿门宴,李荣浩,古风,
烧不尽,惊喧,古风,
龙卷风,G.E.M.邓紫棋,流行,
若把你,Kirsty刘瑾睿,流行,
凄美地,郭顶,流行,
星河叹,黄龄,古风,
九张机,叶炫清,古风,
兰亭序,王丹,古风,
卷珠帘,霍尊,古风,
欧若拉,张韶涵,流行,
童话镇,暗杠,民谣,
胡广生,任素汐,民谣,
碧海问舟,Assen捷,古风,
万象霜天,赤羽,古风,
一梦惊鸿,黄诗扶,古风,
琴瑟在御,黄诗扶,古风,
春日呓语,黄诗扶,古风,
三行情诗,黄诗扶,古风,
春山横波,黄诗扶,古风,
梦幻诛仙,张碧晨,古风,
上弦之月,萧忆情Alex,古风,
君临天下,国风堂,古风,
江湖少年,东篱,古风,
腐草为萤,银临,古风,
春意红包,毛晓彤,流行,
生死江湖,李常超 (Lao乾妈),古风,
明月天涯,五音Jw,古风,
棠梨煎雪,银临,古风,
草木不朽,陈亦洺,古风,
天策抢魂,西瓜JUN,古风,
花落无痕,狸梦喵,古风,
风花雪雨,林斜阳,古风,
千秋迭梦,镜予歌,古风,
弱水三千,苏熠鸣,古风,
世末歌者,乐正绫,古风,
麓海为王,祖娅纳惜,古风,
今日无事,黄诗扶,古风,
一念众生,冬子,古风,
梦回神都,周深,古风,
知否知否,郭心雨,古风,
一生等你,屈楚萧,流行,
就是哪吒,朱颜希,古风,
如果可以,韦礼安,古风,
天若有情,黄丽玲,古风,
我的美丽,小霞,古风,
像风一样,薛之谦,古风,
母系社会,张惠妹,古风,
说好不哭,苏丹丹,古风,
不眠之夜,张杰,流行,
修炼爱情,林俊杰,流行,
东北民谣,毛不易,古风,
江湖之间,李佩琪,古风,
雨后日记,单依纯,流行,
失恋无罪,黄丽玲,古风,
孤独颂歌,戴羽彤,古风,
今夜有雨,蒋一帆,古风,
南屏晚钟,蔡琴,古风,
兰花花儿,谭维维,古风,
无人之岛,任然,古风,
爱的供养,杨幂,古风,
到此为止,徐佳莹,古风,
一吻天荒,胡歌,古风,
光年之外,G.E.M.邓紫棋,流行,
落笔成书,赵滏城,古风,
左手指月,萨顶顶,古风,
人鱼之歌,朵莉亚,古风,
光的方向,张碧晨,古风,
你的目光,Alec Benjamin,古风,
行走的鱼,徐佳莹,古风,
到此为止,徐佳莹,古风,
天地龙鳞,王力宏,古风,
人间不值得,黄诗扶,古风,
吹梦到西洲,恋恋故人难,古风,
御龙定乾坤,彭苒蕊,古风,
东京不太热,封茗囧菌,古风,
不觉秋色浅,熙云XYUN,古风,
古龙群侠传,河图,古风,
剑落怀中月,李常超 (Lao乾妈),古风,
九九八十一,双笙（陈元汐）,古风,
辞九门回忆,解忧草,流行,
山海入梦来,邹秋实,古风,
三拜红尘凉,尹昔眠,古风,
江湖相忘时,辣酱灬,古风,
百鬼阴阳抄,西瓜Kune,古风,
天堂岛之歌,蕊蕊蕊蕊！,古风,
彩色复活卷,黄龄,古风,
别找我麻烦,蔡健雅,古风,
踮起脚尖爱,洪佩瑜,古风,
转身即心痛,谭维维,古风,
追梦赤子心,GALA,古风,
一万次悲伤,逃跑计划,古风,
别问很可怕,J. Sheon,古风,
新贵妃醉酒,沅沅子Yaoao,古风,
一样的月光,徐佳莹,流行,
有一种悲伤,黄丽玲,古风,
我不曾忘记,花玲,古风,
爱的回归线,单依纯,流行,
想你时风起,单依纯,流行,
人鱼的眼泪,EXO,古风,
心愿便利贴,元若蓝,古风,
易燃易爆炸,陈粒,流行,
云裳羽衣曲,自由诗工作室,古风,
新九九八十一,洛天依Official,古风,
只对你有感觉,林俊杰,流行,
红蔷薇白玫瑰,G.E.M.邓紫棋,流行,
我是如此相信,Lih_P小爱,流行,
是妈妈是女儿,黄绮珊,古风,
永不失联的爱,单依纯,流行,
无人知晓的我,黄丽玲,古风,
少女作妖日记,纳豆nado,古风,
稻草人的胸膛,王淘沙,古风,
请笃信一个梦,周深,流行,
何必诗债换酒钱,Winky诗,古风,
晚夜微雨问海棠,萧忆情Alex,古风,
雪落在先生肩上,黄诗扶,古风,
不为谁而作的歌,林俊杰,流行,
华阴老腔一声喊,谭维维,古风,
多远都要在一起,G.E.M.邓紫棋,流行,
如果突然想起我,喵☆酱,古风,
天上掉下个林妹妹,黄诗扶,古风,
你吻了我这件小事,孟慧圆,古风,
